input1,input2,y_true_1,y_true_2,model1_out1,model1_out2,model2_out1,model2_out2
0.0,0.0,-0.44808361531077545,-0.0,-1.4428403376014094,-4.298913801330132,-0.5159018001325011,0.06127117899394657
0.0,0.1,-0.3984743579013682,-0.6550290000000002,-1.227153085372517,-4.355517710061907,-0.5018473193094035,0.029829458336746162
0.0,0.2,-0.3555760302143573,-1.298232,-1.0211390485531506,-4.406677785585202,-0.5114786248177685,-0.0030692173310642445
0.0,0.30000000000000004,-0.3176122096761673,-1.9177830000000005,-0.8285104131686292,-4.452144676575861,-0.5446312594001981,-0.03719231069218509
0.0,0.4,-0.2833826107641121,-2.501856,-0.6529011043157316,-4.491694798811521,-0.6007958560582249,-0.07229667006416879
0.0,0.5,-0.2520470336123112,-3.0386250000000006,-0.4977538904214587,-4.525132166221432,-0.6791311534282576,-0.10813141472964782
0.0,0.6000000000000001,-0.2229997527360603,-3.5162640000000014,-0.3662087130768379,-4.552290008298874,-0.7784849592326326,-0.14444092074053655
0.0,0.7000000000000001,-0.19579305799449104,-3.9229470000000006,-0.2609972716711688,-4.57303215529654,-0.8974223309490794,-0.18096785749616037
0.0,0.8,-0.17008888254653926,-4.246848,-0.18434879446628738,-4.5872541759585275,-1.034260013067037,-0.2174562245598363
0.0,0.9,-0.145627174976002,-4.476141,-0.13791152981980748,-4.594884252681758,-1.1871059751814164,-0.2536543389564381
0.0,1.0,-0.12220462235748422,-4.599,-0.12269381934641643,-4.5958837862689235,-1.3539027576957525,-0.289317723228185
1.0,0.0,-0.48513598781562506,-0.0,-2.287287303309174,-4.674650652695473,-0.04498147505107397,-1.3277415247780038
1.0,0.1,-0.4314245034503237,-0.6548543488878501,-2.1331276846949576,-4.735623476106995,0.01714091109093463,-1.3788867563520284
1.0,0.2,-0.38497888065368957,-1.297885850955257,-1.9860368629980178,-4.7905482877948735,0.05432300513744348,-1.4283897861116017
1.0,0.30000000000000004,-0.3438758031281342,-1.9172716593817796,-1.8486706106035515,-4.839156868438642,0.06605106523904336,-1.4759018203104706
1.0,0.4,-0.3068157328347466,-2.5011889273469734,-1.7236244451037894,-4.88120979251331,0.052172030223755606,-1.5210851347796974
1.0,0.5,-0.2728889931462891,-3.0378148080303973,-1.6133528430940722,-4.916498392179264,0.012896767105258888,-1.5636170725048615
1.0,0.6000000000000001,-0.2414397706803343,-3.5153264546116088,-1.5200895160514847,-4.944846482009388,-0.051205258691015665,-1.6031938808944846
1.0,0.7000000000000001,-0.21198333380639267,-3.9219010202701634,-1.4457723472286261,-4.966111823614424,-0.13921970105310333,-1.6395343239967075
1.0,0.8,-0.1841536606810332,-4.2457156581856195,-1.3919765025909512,-4.980187314967101,-0.2499089795362357,-1.6723830105549031
1.0,0.9,-0.15766919604007812,-4.474947521537534,-1.3598589375298973,-4.98700188860988,-0.3817411385097662,-1.7015133828613451
1.0,1.0,-0.13230981485880683,-4.597773763505465,-1.3501170296060456,-4.986521109554247,-0.5329249826717692,-1.7267303161499474
2.0,0.0,-0.5246741403254802,-0.0,-3.212750425480977,-4.812487265279157,-0.28541965003304526,-2.9268469782394466
2.0,0.1,-0.46658521764658767,-0.6543306749062617,-3.131466630600513,-4.874036657246388,-0.16622422231585965,-2.9955705745023686
2.0,0.2,-0.41635431780667137,-1.2968479574872347,-3.055017910816011,-4.929280450127606,-0.06944677382973108,-3.059047080291131
2.0,0.30000000000000004,-0.3719013759365903,-1.9157384554176307,-2.984822770319332,-4.977948150324817,0.0035320354134524834,-3.1168307331643876
2.0,0.4,-0.3318209428004388,-2.4991887763721605,-2.922237071442215,-5.0197994921951965,0.05165224530252566,-3.1685119875436425
2.0,0.5,-0.29512920393308256,-3.0353855280255364,-2.868510747756924,-5.054626414089141,0.0742001799125207,-3.213722348292512
2.0,0.6000000000000001,-0.2611168977433785,-3.51251531805247,-2.8247464182755806,-5.082254780762277,0.07082605430603284,-3.252138746082808
2.0,0.7000000000000001,-0.22925978740309022,-3.918764754127671,-2.7918618099957326,-5.102545833622802,0.04155299370391585,-3.283487381931211
2.0,0.8,-0.19916202061334554,-4.242320443925853,-2.7705577754433026,-5.115397351949847,-0.013222857679300759,-3.307546977193663
2.0,0.9,-0.17051909560578102,-4.4713689951217255,-2.7612934609111823,-5.120744509992897,-0.09274116706870306,-3.324151374113466
2.0,1.0,-0.14309294736149458,-4.594097015390001,-2.7642698539680133,-5.118560422367758,-0.19589490998865422,-3.333191445653355
3.0,0.0,-0.5668100782732572,-0.0,-2.437876298235817,-4.692490593399836,-1.1321416014767616,-4.046536006314132
3.0,0.1,-0.5040561053215752,-0.6534588153752384,-2.320084720317194,-4.752062800146044,-0.9982455642171404,-4.1256313455846945
3.0,0.2,-0.4497912234039397,-1.2951199791188273,-2.2117916753251112,-4.80547609473492,-0.8821008020071224,-4.196981480808477
3.0,0.30000000000000004,-0.40176832018780884,-1.9131858395991184,-2.1150937446478717,-4.852468173693238,-0.785367690839486,-4.260087704088727
3.0,0.4,-0.35846907652957344,-2.495858745184461,-2.031927297169117,-4.892806436700671,-0.7094561383913485,-4.3145046357003976
3.0,0.5,-0.31883066902870727,-3.031341044243207,-1.9640042045972255,-4.926289904209092,-0.6554914179792384,-4.359845458043698
3.0,0.6000000000000001,-0.2820868761639001,-3.5078350851437072,-1.9127533265095504,-4.952750885081322,-0.6242864210073442,-4.395786494702741
3.0,0.7000000000000001,-0.24767136028896672,-3.913543216254311,-1.8792705542887305,-4.972056375693242,-0.6163212839599499,-4.422071058544625
3.0,0.8,-0.21515647869148136,-4.236667785943371,-1.8642798527499602,-4.984109173431542,-0.6317311026334851,-4.438512504236759
3.0,0.9,-0.18421327543880858,-4.465411142579237,-1.8681072334869882,-4.98884869186811,-0.6703021741167641,-4.444996436074408
3.0,1.0,-0.1545845668017974,-4.587975634530259,-1.8906689665728496,-4.986251468176821,-0.7314769096720104,-4.441482032303004
4.0,0.0,-0.6116559440662725,-0.0,-1.204966072545469,-4.183924883572081,-2.2808502337900802,-4.488094924008579
4.0,0.1,-0.5439368931160781,-0.6522401633489563,-1.0174716682609777,-4.239280233428583,-2.1656379322599584,-4.571570713556834
4.0,0.2,-0.48537858787194527,-1.292704676807961,-0.8455713043448134,-4.289262579114084,-2.062449316796546,-4.6464098140097825
4.0,0.30000000000000004,-0.43355612505874025,-1.9096178904870644,-0.6926099729166175,-4.333625811274175,-1.972735236809183,-4.712092748512568
4.0,0.4,-0.3868310565175886,-2.491204154496314,-0.5616644287308539,-4.372149799987943,-1.897784601145644,-4.768158810959845
4.0,0.5,-0.3440564685372783,-3.0256878189457597,-0.45544057034803487,-4.404642214189719,-1.838693600295238,-4.814211446251523
4.0,0.6000000000000001,-0.3044055163492612,-3.5012932339454506,-0.37618057817644335,-4.430940120653589,-1.7963390406822506,-4.849922921064027
4.0,0.7000000000000001,-0.26726705382026256,-3.9062447496054338,-0.3255842547120782,-4.450911345382115,-1.7713566996452967,-4.875038207530628
4.0,0.8,-0.23217960325780956,-4.22876671603576,-0.3047484203454962,-4.4644555796482575,-1.7641254459928604,-4.889378016324187
4.0,0.9,-0.19878818182153857,-4.457083483346478,-0.31412738102941695,-4.471505219902591,-1.7747576817932842,-4.892840928192675
4.0,1.0,-0.16681525747261977,-4.579419401647636,-0.35351645856262426,-4.472025929260056,-1.8030964413680124,-4.885404588592329
5.0,0.0,-0.659323514168392,-0.0,-1.7873490547599507,-3.155115512402732,-2.4053531377943385,-4.525220411533885
5.0,0.1,-0.5863269822426057,-0.6506766639067291,-1.633966504397006,-3.2042594519106915,-2.273104651364624,-4.6113402692086565
5.0,0.2,-0.5232051112433046,-1.289605905596486,-1.4934057242282504,-3.2496863172122414,-2.150892956429628,-4.688908116340005
5.0,0.30000000000000004,-0.4673440203370072,-1.905040302852299,-1.3684024020830026,-3.291171980042902,-2.0403816995893083,-4.757389742775011
5.0,0.4,-0.41697757382541545,-2.4852324334571954,-1.2614713278435978,-3.3285101771914634,-1.943116622763048,-4.816308060585409
